101,2020,31,1836,23.21,23.211,23.205,.003,23.007,23.007,23.007,0,23.13,23.13,23.13,0,23.166,23.18,23.161,.008,23.056,23.056,23.056,0
101,2020,31,1837,23.204,23.205,23.204,.001,23.006,23.007,23.005,.001,23.128,23.129,23.124,.002,23.159,23.161,23.154,.003,23.055,23.056,23.055,.001
101,2020,31,1838,23.201,23.204,23.197,.003,22.996,22.999,22.993,.003,23.12,23.123,23.117,.003,23.157,23.16,23.154,.003,23.059,23.073,23.055,.008
101,2020,31,1839,23.204,23.204,23.204,0,23.004,23.005,22.999,.003,23.128,23.129,23.123,.003,23.156,23.16,23.154,.003,23.073,23.08,23.067,.006
101,2020,31,1840,23.204,23.206,23.2,.003,23.005,23.007,23.001,.003,23.131,23.131,23.129,.001,23.156,23.156,23.154,.001,23.08,23.082,23.076,.003
102,2020,31,1840,11.93,0
101,2020,31,1841,23.198,23.206,23.193,.005,23.007,23.007,23.007,0,23.131,23.131,23.131,0,23.153,23.156,23.15,.003,23.082,23.082,23.082,0
101,2020,31,1842,23.189,23.193,23.187,.003,23.001,23.007,22.995,.004,23.127,23.131,23.125,.003,23.148,23.156,23.144,.005,23.074,23.082,23.063,.008
101,2020,31,1843,23.179,23.187,23.176,.005,22.989,22.995,22.984,.005,23.12,23.121,23.119,.001,23.143,23.152,23.133,.008,23.058,23.059,23.057,.001
101,2020,31,1844,23.17,23.176,23.164,.004,22.988,22.991,22.984,.003,23.127,23.133,23.121,.004,23.139,23.139,23.139,0,23.063,23.071,23.059,.005
101,2020,31,1845,23.167,23.176,23.158,.009,22.986,22.991,22.984,.003,23.128,23.133,23.121,.005,23.133,23.133,23.133,0,23.062,23.071,23.059,.005
101,2020,31,1848,23.188,23.188,23.188,0,22.99,22.99,22.99,0,23.126,23.126,23.126,0,23.144,23.144,23.144,0,23.095,23.095,23.095,0
101,2020,31,1849,23.179,23.188,23.175,.005,22.99,22.99,22.99,0,23.123,23.132,23.113,.007,23.14,23.144,23.132,.005,23.092,23.095,23.089,.003
101,2020,31,1850,23.175,23.182,23.169,.004,22.987,22.99,22.983,.003,23.12,23.12,23.12,0,23.135,23.138,23.132,.003,23.068,23.082,23.064,.008
102,2020,31,1850,11.94,0
101,2020,31,1851,23.177,23.182,23.175,.003,22.985,22.99,22.978,.005,23.118,23.126,23.113,.005,23.131,23.132,23.126,.003,23.058,23.064,23.052,.006
101,2020,31,1852,23.168,23.17,23.163,.003,22.985,22.99,22.978,.005,23.122,23.126,23.114,.005,23.117,23.12,23.114,.003,23.058,23.064,23.046,.008
101,2020,31,1853,23.165,23.17,23.163,.003,22.975,22.978,22.965,.005,23.114,23.114,23.114,0,23.115,23.12,23.114,.003,23.05,23.064,23.046,.008
101,2020,31,1854,23.157,23.157,23.157,0,22.97,22.972,22.965,.003,23.114,23.114,23.114,0,23.112,23.114,23.108,.003,23.052,23.052,23.052,0
101,2020,31,1855,23.153,23.157,23.151,.003,22.967,22.972,22.965,.003,23.106,23.114,23.102,.005,23.105,23.108,23.102,.003,23.035,23.04,23.027,.005
101,2020,31,1856,23.15,23.157,23.145,.005,22.967,22.972,22.965,.003,23.112,23.114,23.108,.003,23.102,23.108,23.095,.004,23.038,23.04,23.033,.003
101,2020,31,1857,23.137,23.145,23.13,.007,22.965,22.969,22.963,.003,23.108,23.112,23.099,.005,23.086,23.095,23.081,.006,23.038,23.04,23.037,.001
101,2020,31,1858,23.126,23.13,23.118,.005,22.962,22.963,22.957,.003,23.098,23.105,23.087,.007,23.084,23.093,23.074,.007,23.028,23.037,23.019,.007
101,2020,31,1859,23.105,23.105,23.105,0,22.943,22.951,22.938,.005,23.074,23.081,23.062,.008,23.067,23.068,23.062,.003,23.003,23.013,22.988,.009
101,2020,31,1900,23.098,23.1,23.094,.003,22.936,22.939,22.932,.003,23.056,23.062,23.05,.004,23.059,23.063,23.056,.003,22.991,22.995,22.988,.003
102,2020,31,1900,11.94,0
101,2020,31,1901,23.1,23.1,23.1,0,22.939,22.939,22.939,0,23.063,23.063,23.063,0,23.14,23.168,23.094,.029,23.013,23.019,23.001,.008
101,2020,31,1902,23.097,23.106,23.094,.005,22.939,22.939,22.939,0,23.058,23.063,23.05,.005,23.193,23.205,23.18,.01,23.015,23.019,23.013,.003
101,2020,31,1903,23.096,23.1,23.087,.005,22.922,22.927,22.921,.002,23.04,23.045,23.038,.003,23.203,23.206,23.199,.003,23.006,23.013,23.001,.005
101,2020,31,1904,23.094,23.1,23.088,.004,22.91,22.915,22.896,.008,23.026,23.032,23.02,.004,23.2,23.206,23.193,.004,22.989,22.989,22.989,0
101,2020,34,1356,-99999,-99999,-99999,0,-99999,-99999,-99999,0,-99999,-99999,-99999,0,-99999,-99999,-99999,0,-99999,-99999,-99999,0
101,2020,34,1357,-99999,-99999,-99999,0,-99999,-99999,-99999,0,-99999,-99999,-99999,0,-99999,-99999,-99999,0,-99999,-99999,-99999,0
101,2020,34,1556,-99999,-99999,-99999,0,-99999,-99999,-99999,0,-99999,-99999,-99999,0,-99999,-99999,-99999,0,-99999,-99999,-99999,0
101,2020,34,1558,-99999,-99999,-99999,0,-99999,-99999,-99999,0,-99999,-99999,-99999,0,-99999,-99999,-99999,0,-99999,-99999,-99999,0
101,2020,34,1559,-99999,-99999,-99999,0,-99999,-99999,-99999,0,-99999,-99999,-99999,0,-99999,-99999,-99999,0,-99999,-99999,-99999,0
101,2020,34,1600,-99999,-99999,-99999,0,-99999,-99999,-99999,0,-99999,-99999,-99999,0,-99999,-99999,-99999,0,-99999,-99999,-99999,0
102,2020,34,1600,12.57,0
